kode_kemendagri,nama_clean,tipe,tahun,jumlah_banjir
3201,KABUPATEN BOGOR,KAB,2012,0
3201,KABUPATEN BOGOR,KAB,2013,19
3201,KABUPATEN BOGOR,KAB,2014,8
3201,KABUPATEN BOGOR,KAB,2015,5
3201,KABUPATEN BOGOR,KAB,2016,18
3201,KABUPATEN BOGOR,KAB,2017,20
3201,KABUPATEN BOGOR,KAB,2018,4
3201,KABUPATEN BOGOR,KAB,2019,10
3201,KABUPATEN BOGOR,KAB,2020,43
3201,KABUPATEN BOGOR,KAB,2021,75
3201,KABUPATEN BOGOR,KAB,2022,28
3201,KABUPATEN BOGOR,KAB,2023,29
3201,KABUPATEN BOGOR,KAB,2024,29
3201,KABUPATEN BOGOR,KAB,2025,31
3202,KABUPATEN SUKABUMI,KAB,2012,20
3202,KABUPATEN SUKABUMI,KAB,2013,17
3202,KABUPATEN SUKABUMI,KAB,2014,5
3202,KABUPATEN SUKABUMI,KAB,2015,6
3202,KABUPATEN SUKABUMI,KAB,2016,19
3202,KABUPATEN SUKABUMI,KAB,2017,19
3202,KABUPATEN SUKABUMI,KAB,2018,3
3202,KABUPATEN SUKABUMI,KAB,2019,10
3202,KABUPATEN SUKABUMI,KAB,2020,13
3202,KABUPATEN SUKABUMI,KAB,2021,27
3202,KABUPATEN SUKABUMI,KAB,2022,30
3202,KABUPATEN SUKABUMI,KAB,2023,7
3202,KABUPATEN SUKABUMI,KAB,2024,24
3202,KABUPATEN SUKABUMI,KAB,2025,23
3203,KABUPATEN CIANJUR,KAB,2012,1
3203,KABUPATEN CIANJUR,KAB,2013,21
3203,KABUPATEN CIANJUR,KAB,2014,2
3203,KABUPATEN CIANJUR,KAB,2015,3
3203,KABUPATEN CIANJUR,KAB,2016,7
3203,KABUPATEN CIANJUR,KAB,2017,5
3203,KABUPATEN CIANJUR,KAB,2018,4
3203,KABUPATEN CIANJUR,KAB,2019,3
3203,KABUPATEN CIANJUR,KAB,2020,4
