kode_kemendagri,nama_clean,tahun,bulan,precipitation_sum_mm,rain_sum_mm,precipitation_hours_total,rainy_days,heavy_rain_days_50mm,max_daily_precipitation_mm,wind_gusts_10m_max_kmh,et0_fao_evapotranspiration_mm_avg,soil_moisture_0_to_7cm_avg,rain_intensity_mm_per_hour_avg
3201,KABUPATEN BOGOR,2012,1,299.8,299.8,414.0,31,0,28.5,67.0,2.8206451612903227,0.4795282258064516,0.7613566359043489
3201,KABUPATEN BOGOR,2012,2,422.0,422.0,339.0,29,0,44.3,38.5,3.483793103448276,0.4744525862068965,1.2584176730206678
3201,KABUPATEN BOGOR,2012,3,169.0,169.0,248.0,31,0,16.7,58.0,3.4793548387096775,0.4725994623655914,0.7041093747070976
3201,KABUPATEN BOGOR,2012,4,403.7,403.7,292.0,29,1,64.9,35.6,3.4256666666666664,0.46769444444444447,1.3568104799782499
3201,KABUPATEN BOGOR,2012,5,137.4,137.4,191.0,25,0,14.4,34.6,3.609677419354839,0.46459408602150537,0.7192642135642134
3201,KABUPATEN BOGOR,2012,6,78.2,78.2,153.0,24,0,18.1,32.0,3.454,0.4412847222222222,0.42024470899470906
3201,KABUPATEN BOGOR,2012,7,66.3,66.3,140.0,22,0,10.5,33.5,3.716774193548387,0.42568682795698926,0.41081654456654454
3201,KABUPATEN BOGOR,2012,8,34.4,34.4,82.0,21,0,5.7,41.0,4.459032258064516,0.31893682795698924,0.31156307977736547
3201,KABUPATEN BOGOR,2012,9,66.6,66.6,120.0,23,0,16.5,37.1,4.609666666666667,0.36583055555555555,0.4543291611769872
3201,KABUPATEN BOGOR,2012,10,215.6,215.6,224.0,28,0,30.4,33.5,4.198064516129032,0.46090860215053764,0.8935294566544567
3201,KABUPATEN BOGOR,2012,11,457.5,457.5,345.0,30,1,113.4,33.8,3.4363333333333332,0.4781888888888889,1.2120650243003184
3201,KABUPATEN BOGOR,2012,12,334.6,334.6,378.0,31,0,22.0,39.2,3.1858064516129034,0.4778991935483871,0.924705029828744
3201,KABUPATEN BOGOR,2013,1,402.2,402.2,504.0,31,0,27.2,59.0,2.6058064516129034,0.479130376344086,0.8032716138454439
3201,KABUPATEN BOGOR,2013,2,380.1,380.1,325.0,28,1,50.9,56.9,3.2896428571428573,0.4761815476190476,1.1063509961093994
3201,KABUPATEN BOGOR,2013,3,272.5,272.5,257.0,30,0,19.1,43.6,3.7293548387096775,0.4732405913978494,1.154371753003332
3201,KABUPATEN BOGOR,2013,4,454.2,454.2,342.0,30,2,76.8,37.1,3.2113333333333336,0.4744361111111111,1.176980222876962
3201,KABUPATEN BOGOR,2013,5,231.9,231.9,275.0,31,0,20.9,39.2,3.166451612903226,0.47374059139784946,0.8088399369447754
3201,KABUPATEN BOGOR,2013,6,167.5,167.5,218.0,28,0,24.6,38.5,3.011,0.46621944444444446,0.8261340445269016
3201,KABUPATEN BOGOR,2013,7,283.6,283.6,308.0,31,0,29.4,41.8,2.8712903225806454,0.4794731182795699,0.788722480511155
3201,KABUPATEN BOGOR,2013,8,72.5,72.5,162.0,22,0,14.5,37.4,4.010645161290323,0.4415295698924731,0.40977863046044855
3201,KABUPATEN BOGOR,2013,9,119.4,119.4,207.0,25,0,17.2,32.0,4.239,0.450825,0.4949194139194139
3201,KABUPATEN BOGOR,2013,10,212.0,212.0,201.0,30,0,29.1,45.7,4.393225806451613,0.46264516129032257,0.8417562927268811
3201,KABUPATEN BOGOR,2013,11,206.6,206.6,233.0,25,0,22.6,40.3,3.6966666666666668,0.4507847222222222,0.8610541439237092
3201,KABUPATEN BOGOR,2013,12,541.3,541.3,433.0,31,1,127.4,39.2,3.0041935483870965,0.47818817204301073,1.0865584726607787
3201,KABUPATEN BOGOR,2014,1,339.7,339.7,433.0,31,0,25.9,45.0,2.7348387096774194,0.47771370967741933,0.8139439795254735
