kode_kemendagri,nama_clean,tipe,tahun,jumlah_kejadian_bnpb,Meninggal,Hilang,luka_sakit,menderita_mengungsi,Rumah Rusak Berat,Rumah Rusak Sedang,Rumah Rusak Ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak
3201,KABUPATEN BOGOR,KAB,2008,3.0,4,0,47,12,36,0,40,700,0,0,0,0,0
3201,KABUPATEN BOGOR,KAB,2009,3.0,0,0,0,0,0,0,0,100,0,0,0,0,0
3201,KABUPATEN BOGOR,KAB,2010,8.0,7,2,21,1398,56,0,141,5155,1,0,0,0,0
3201,KABUPATEN BOGOR,KAB,2011,1.0,0,0,0,0,0,0,3,0,0,0,0,0,0
3201,KABUPATEN BOGOR,KAB,2012,7.0,0,0,0,0,33,5,740,0,0,0,0,30,0
3201,KABUPATEN BOGOR,KAB,2013,3.0,0,0,0,895,1,0,0,20,0,0,0,0,0
3201,KABUPATEN BOGOR,KAB,2014,10.0,0,0,0,1546,12,18,30,723,0,0,0,0,0
3201,KABUPATEN BOGOR,KAB,2015,6.0,1,0,0,2997,1,2,1,592,0,3,0,0,0
3201,KABUPATEN BOGOR,KAB,2016,11.0,0,0,1,1903,4,13,10,613,3,1,0,0,0
3201,KABUPATEN BOGOR,KAB,2017,12.0,0,0,0,266,6,11,15,830,0,0,0,0,0
3201,KABUPATEN BOGOR,KAB,2018,13.0,1,0,0,1019,21,13,211,178,1,0,0,0,5
3201,KABUPATEN BOGOR,KAB,2019,18.0,1,0,0,6316,3,11,45,698,1,2,0,0,3
3201,KABUPATEN BOGOR,KAB,2020,33.2,11,0,2,108488,720,535,1160,7662,44,38,0,5,37
3201,KABUPATEN BOGOR,KAB,2021,46.0,1,0,0,52345,14,39,63,11667,0,3,1,0,7
3201,KABUPATEN BOGOR,KAB,2022,24.0,3,1,10,56398,54,62,176,13416,0,0,0,0,4
3201,KABUPATEN BOGOR,KAB,2023,24.0,0,0,0,6981,5,24,79,3687,2,2,0,0,2
