kode_kemendagri,nama_clean,nama_singkat,tipe,lat,lon,bps_kode,tahun,jumlah_banjir,total_hujan_tahunan_mm,rain_sum_mm,precipitation_hours_total,rainy_days,total_hari_hujan_ekstrem,max_hujan_harian_mm,wind_gusts_10m_max_kmh,et0_fao_evapotranspiration_mm_avg,avg_kelembaban_tanah,rain_intensity_mm_per_hour_avg,jumlah_kejadian_bnpb,korban_meninggal,korban_hilang,korban_luka,pengungsi,rusak_berat,rusak_sedang,rusak_ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak,satuan,jumlah_sampah_ton_per_hari,is_sampah_missing,rasio_banjir_per_hujan,kategori_hujan,rank_banjir_di_wilayah,total_terdampak
3201,KABUPATEN BOGOR,BOGOR,KAB,-6.5971,106.806,3201,2008,,,,,,,,,,,,3.0,4.0,0.0,47.0,12.0,36.0,0.0,40.0,700.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,63.0
3201,KABUPATEN BOGOR,BOGOR,KAB,-6.5971,106.806,3201,2009,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,0.0
3201,KABUPATEN BOGOR,BOGOR,KAB,-6.5971,106.806,3201,2010,,,,,,,,,,,,8.0,7.0,2.0,21.0,1398.0,56.0,0.0,141.0,5155.0,1.0,0.0,0.0,0.0,0.0,,,True,,,,1428.0
3201,KABUPATEN BOGOR,BOGOR,KAB,-6.5971,106.806,3201,2011,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,0.0
3201,KABUPATEN BOGOR,BOGOR,KAB,-6.5971,106.806,3201,2012,0.0,2685.1,2685.1,2926.0,324.0,2.0,113.4,67.0,3.656567884068718,0.4439670352603715,0.7856009485394752,7.0,0.0,0.0,0.0,0.0,33.0,5.0,740.0,0.0,0.0,0.0,0.0,30.0,0.0,,,True,0.0,Tinggi (2500-4000mm),13.0,0.0
3201,KABUPATEN BOGOR,BOGOR,KAB,-6.5971,106.806,3201,2013,19.0,3343.8,3343.8,3465.0,342.0,4.0,127.4,59.0,3.435717549923196,0.4671995338368322,0.8632281667924334,3.0,0.0,0.0,0.0,895.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,,True,0.005682158023805251,Tinggi (2500-4000mm),7.0,895.0
3201,KABUPATEN BOGOR,BOGOR,KAB,-6.5971,106.806,3201,2014,8.0,2750.7,2750.7,3127.0,336.0,0.0,49.1,45.0,3.572135176651306,0.4543761299389827,0.7569986646968352,10.0,0.0,0.0,0.0,1546.0,12.0,18.0,30.0,723.0,0.0,0.0,0.0,0.0,0.0,,,True,0.002908350601665031,Tinggi (2500-4000mm),10.0,1546.0
3201,KABUPATEN BOGOR,BOGOR,KAB,-6.5971,106.806,3201,2015,5.0,2328.5,2328.5,2727.0,291.0,1.0,52.2,51.1,3.812963069636457,0.4168216659199522,0.6757915540951701,6.0,1.0,0.0,0.0,2997.0,1.0,2.0,1.0,592.0,0.0,3.0,0.0,0.0,0.0,TON PER HARI,861919.33,False,0.002147305132059266,Sedang (1500-2500mm),11.0,2998.0
3201,KABUPATEN BOGOR,BOGOR,KAB,-6.5971,106.806,3201,2016,18.0,3860.9,3860.9,3690.0,360.0,4.0,79.9,53.6,3.291002719070572,0.4713841169972809,0.9703257279240498,11.0,0.0,0.0,1.0,1903.0,4.0,13.0,10.0,613.0,3.0,1.0,0.0,0.0,0.0,TON PER HARI,869475.1,False,0.00466212541117356,Tinggi (2500-4000mm),8.0,1904.0
3201,KABUPATEN BOGOR,BOGOR,KAB,-6.5971,106.806,3201,2017,20.0,2102.8,2102.8,2411.0,335.0,0.0,48.2,55.8,3.6667124295954943,0.4167299968531319,0.7455530428398559,12.0,0.0,0.0,0.0,266.0,6.0,11.0,15.0,830.0,0.0,0.0,0.0,0.0,0.0,TON PER HARI,878169.85,False,0.009511128019783146,Sedang (1500-2500mm),6.0,266.0
