kode_kemendagri,nama_clean,tipe,tahun,satuan,jumlah_sampah_tahunan
3201,KABUPATEN BOGOR,KAB,2015,TON PER HARI,861919.33
3201,KABUPATEN BOGOR,KAB,2016,TON PER HARI,869475.1
3201,KABUPATEN BOGOR,KAB,2017,TON PER HARI,878169.85
3201,KABUPATEN BOGOR,KAB,2018,TON PER HARI,988.53
3201,KABUPATEN BOGOR,KAB,2019,TON PER HARI,2127.7
3201,KABUPATEN BOGOR,KAB,2020,TON PER HARI,2173.05
3201,KABUPATEN BOGOR,KAB,2021,TON PER HARI,701.0
3201,KABUPATEN BOGOR,KAB,2022,TON PER HARI,396.53
3201,KABUPATEN BOGOR,KAB,2023,TON PER HARI,358.0
3202,KABUPATEN SUKABUMI,KAB,2015,TON PER HARI,205690.23
3202,KABUPATEN SUKABUMI,KAB,2016,TON PER HARI,207785.29
3202,KABUPATEN SUKABUMI,KAB,2017,TON PER HARI,209863.15
3202,KABUPATEN SUKABUMI,KAB,2018,TON PER HARI,206.21
3202,KABUPATEN SUKABUMI,KAB,2019,TON PER HARI,732.66
3202,KABUPATEN SUKABUMI,KAB,2020,TON PER HARI,734.32
3202,KABUPATEN SUKABUMI,KAB,2021,TON PER HARI,261.2
3202,KABUPATEN SUKABUMI,KAB,2022,TON PER HARI,351.54
3202,KABUPATEN SUKABUMI,KAB,2023,TON PER HARI,35.0
3203,KABUPATEN CIANJUR,KAB,2015,TON PER HARI,355554.29
3203,KABUPATEN CIANJUR,KAB,2016,TON PER HARI,360461.34
3203,KABUPATEN CIANJUR,KAB,2017,TON PER HARI,364065.95
3203,KABUPATEN CIANJUR,KAB,2018,TON PER HARI,360.46
3203,KABUPATEN CIANJUR,KAB,2019,TON PER HARI,702.96
3203,KABUPATEN CIANJUR,KAB,2020,TON PER HARI,692.72
3203,KABUPATEN CIANJUR,KAB,2021,TON PER HARI,223.8
3203,KABUPATEN CIANJUR,KAB,2022,TON PER HARI,457.22
3203,KABUPATEN CIANJUR,KAB,2023,TON PER HARI,488.92
3204,KABUPATEN BANDUNG,KAB,2015,TON PER HARI,1156523.0
3204,KABUPATEN BANDUNG,KAB,2016,TON PER HARI,1166002.7
3204,KABUPATEN BANDUNG,KAB,2017,TON PER HARI,1177662.73
3204,KABUPATEN BANDUNG,KAB,2018,TON PER HARI,1272.68
3204,KABUPATEN BANDUNG,KAB,2019,TON PER HARI,667.06
3204,KABUPATEN BANDUNG,KAB,2020,TON PER HARI,661.72
3204,KABUPATEN BANDUNG,KAB,2021,TON PER HARI,738.05
3204,KABUPATEN BANDUNG,KAB,2022,TON PER HARI,559.62
3204,KABUPATEN BANDUNG,KAB,2023,TON PER HARI,254.46
3205,KABUPATEN GARUT,KAB,2015,TON PER HARI,237389.82
3205,KABUPATEN GARUT,KAB,2016,TON PER HARI,239713.5
3205,KABUPATEN GARUT,KAB,2017,TON PER HARI,242110.63
3205,KABUPATEN GARUT,KAB,2018,TON PER HARI,244.62
3205,KABUPATEN GARUT,KAB,2019,TON PER HARI,789.37
3205,KABUPATEN GARUT,KAB,2020,TON PER HARI,794.22
3205,KABUPATEN GARUT,KAB,2021,TON PER HARI,283.34
3205,KABUPATEN GARUT,KAB,2022,TON PER HARI,330.21
3205,KABUPATEN GARUT,KAB,2023,TON PER HARI,361.44
3206,KABUPATEN TASIKMALAYA,KAB,2015,TON PER HARI,293210.71
3206,KABUPATEN TASIKMALAYA,KAB,2016,TON PER HARI,295533.32
3206,KABUPATEN TASIKMALAYA,KAB,2017,TON PER HARI,298488.65
3206,KABUPATEN TASIKMALAYA,KAB,2018,TON PER HARI,295.53
3206,KABUPATEN TASIKMALAYA,KAB,2019,TON PER HARI,481.96
3206,KABUPATEN TASIKMALAYA,KAB,2020,TON PER HARI,482.74
3206,KABUPATEN TASIKMALAYA,KAB,2021,TON PER HARI,111.12
3206,KABUPATEN TASIKMALAYA,KAB,2022,TON PER HARI,130.02
3206,KABUPATEN TASIKMALAYA,KAB,2023,TON PER HARI,69.0
3207,KABUPATEN CIAMIS,KAB,2015,TON PER HARI,94302.11
3207,KABUPATEN CIAMIS,KAB,2016,TON PER HARI,95606.66
3207,KABUPATEN CIAMIS,KAB,2017,TON PER HARI,96562.73
3207,KABUPATEN CIAMIS,KAB,2018,TON PER HARI,96.47
3207,KABUPATEN CIAMIS,KAB,2019,TON PER HARI,409.22
3207,KABUPATEN CIAMIS,KAB,2020,TON PER HARI,411.47
3207,KABUPATEN CIAMIS,KAB,2021,TON PER HARI,115.2
3207,KABUPATEN CIAMIS,KAB,2022,TON PER HARI,151.74
3207,KABUPATEN CIAMIS,KAB,2023,TON PER HARI,72.78
3208,KABUPATEN KUNINGAN,KAB,2015,TON PER HARI,121940.66
3208,KABUPATEN KUNINGAN,KAB,2016,TON PER HARI,123199.17
3208,KABUPATEN KUNINGAN,KAB,2017,TON PER HARI,124431.17
3208,KABUPATEN KUNINGAN,KAB,2018,TON PER HARI,123.2
3208,KABUPATEN KUNINGAN,KAB,2019,TON PER HARI,392.19
3208,KABUPATEN KUNINGAN,KAB,2020,TON PER HARI,394.49
3208,KABUPATEN KUNINGAN,KAB,2021,TON PER HARI,290.3
3208,KABUPATEN KUNINGAN,KAB,2022,TON PER HARI,262.64
3208,KABUPATEN KUNINGAN,KAB,2023,TON PER HARI,30.208
3209,KABUPATEN CIREBON,KAB,2015,TON PER HARI,321930.2
3209,KABUPATEN CIREBON,KAB,2016,TON PER HARI,324258.95
3209,KABUPATEN CIREBON,KAB,2017,TON PER HARI,327501.54
3209,KABUPATEN CIREBON,KAB,2018,TON PER HARI,324.8
3209,KABUPATEN CIREBON,KAB,2019,TON PER HARI,2.2
3209,KABUPATEN CIREBON,KAB,2020,TON PER HARI,765.32
3209,KABUPATEN CIREBON,KAB,2021,TON PER HARI,170.15
3209,KABUPATEN CIREBON,KAB,2022,TON PER HARI,235.0
3209,KABUPATEN CIREBON,KAB,2023,TON PER HARI,43.0
3210,KABUPATEN MAJALENGKA,KAB,2015,TON PER HARI,134954.51
3210,KABUPATEN MAJALENGKA,KAB,2016,TON PER HARI,136227.67
3210,KABUPATEN MAJALENGKA,KAB,2017,TON PER HARI,137589.95
3210,KABUPATEN MAJALENGKA,KAB,2018,TON PER HARI,136.23
3210,KABUPATEN MAJALENGKA,KAB,2019,TON PER HARI,309.42
3210,KABUPATEN MAJALENGKA,KAB,2020,TON PER HARI,310.9
3210,KABUPATEN MAJALENGKA,KAB,2021,TON PER HARI,329.0
3210,KABUPATEN MAJALENGKA,KAB,2022,TON PER HARI,155.6
3210,KABUPATEN MAJALENGKA,KAB,2023,TON PER HARI,534.0
3211,KABUPATEN SUMEDANG,KAB,2015,TON PER HARI,147401.81
3211,KABUPATEN SUMEDANG,KAB,2016,TON PER HARI,148591.61
3211,KABUPATEN SUMEDANG,KAB,2017,TON PER HARI,150077.53
3211,KABUPATEN SUMEDANG,KAB,2018,TON PER HARI,148.59
3211,KABUPATEN SUMEDANG,KAB,2019,TON PER HARI,275.29
3211,KABUPATEN SUMEDANG,KAB,2020,TON PER HARI,263.88
3211,KABUPATEN SUMEDANG,KAB,2021,TON PER HARI,503.02
3211,KABUPATEN SUMEDANG,KAB,2022,TON PER HARI,158.0
3211,KABUPATEN SUMEDANG,KAB,2023,TON PER HARI,13.3
3212,KABUPATEN INDRAMAYU,KAB,2015,TON PER HARI,411955.96
3212,KABUPATEN INDRAMAYU,KAB,2016,TON PER HARI,415021.88
3212,KABUPATEN INDRAMAYU,KAB,2017,TON PER HARI,423322.31
3212,KABUPATEN INDRAMAYU,KAB,2018,TON PER HARI,415.02
3212,KABUPATEN INDRAMAYU,KAB,2019,TON PER HARI,728.31
3212,KABUPATEN INDRAMAYU,KAB,2020,TON PER HARI,732.24
3212,KABUPATEN INDRAMAYU,KAB,2021,TON PER HARI,545.5
3212,KABUPATEN INDRAMAYU,KAB,2022,TON PER HARI,666.99
3212,KABUPATEN INDRAMAYU,KAB,2023,TON PER HARI,142.0
3213,KABUPATEN SUBANG,KAB,2015,TON PER HARI,248500.24
3213,KABUPATEN SUBANG,KAB,2016,TON PER HARI,250936.52
3213,KABUPATEN SUBANG,KAB,2017,TON PER HARI,253445.89
3213,KABUPATEN SUBANG,KAB,2018,TON PER HARI,257.03
3213,KABUPATEN SUBANG,KAB,2019,TON PER HARI,739.09
3213,KABUPATEN SUBANG,KAB,2020,TON PER HARI,746.96
3213,KABUPATEN SUBANG,KAB,2021,TON PER HARI,535.5
3213,KABUPATEN SUBANG,KAB,2022,TON PER HARI,510.0
3213,KABUPATEN SUBANG,KAB,2023,TON PER HARI,2.6
3214,KABUPATEN PURWAKARTA,KAB,2015,TON PER HARI,148302.83
3214,KABUPATEN PURWAKARTA,KAB,2016,TON PER HARI,149847.65
3214,KABUPATEN PURWAKARTA,KAB,2017,TON PER HARI,151346.13
