kode_kemendagri,nama_clean,lat,lon,skor_kerentanan_rata2,avg_jumlah_banjir,avg_total_hari_hujan_ekstrem,avg_jumlah_sampah_ton_per_tahun,cluster_label,cluster_dominan,cluster_color
3201,KABUPATEN BOGOR,-6.5971,106.806,0.7753478946045576,25.77777777777778,3.111111111111111,563491.1033333333,Tinggi,Tinggi,#E34A33
3202,KABUPATEN SUKABUMI,-6.9277,106.9299,0.4941138172636812,14.88888888888889,3.888888888888889,163386.4577777778,Sedang,Sedang,#FDBB84
3204,KABUPATEN BANDUNG,-7.0225,107.5286,0.39039285902930465,26.333333333333332,1.3333333333333333,557360.9755555555,Tinggi,Tinggi,#E34A33
3205,KABUPATEN GARUT,-7.2279,107.9087,0.2959293507382922,10.555555555555555,5.111111111111111,193597.99444444443,Sedang,Sedang,#FDBB84
3271,KOTA BOGOR,-6.595,106.8166,0.2761936719765392,10.11111111111111,3.2222222222222223,413240.27555555553,Sedang,Sedang,#FDBB84
3277,KOTA CIMAHI,-6.8841,107.5413,0.21324140982447554,7.333333333333333,4.444444444444445,205135.6588888889,Sedang,Sedang,#FDBB84
3206,KABUPATEN TASIKMALAYA,-7.3579,108.111,0.21277000510846322,4.0,3.6666666666666665,162268.63666666666,Sedang,Sedang,#FDBB84
3207,KABUPATEN CIAMIS,-7.3264,108.3534,0.20014742532404972,6.666666666666667,3.0,82803.63333333335,Sedang,Sedang,#FDBB84
3272,KOTA SUKABUMI,-6.9277,106.9299,0.15984197758075636,1.4444444444444444,3.888888888888889,126158.10666666666,Sedang,Sedang,#FDBB84
3276,KOTA DEPOK,-6.4025,106.7942,0.09557074731166855,2.2222222222222223,1.8888888888888888,788809.5533333333,Sedang,Sedang,#FDBB84
3218,KABUPATEN PANGANDARAN,-7.6151,108.4988,0.014446019423632316,3.4444444444444446,3.7777777777777777,48219.801111111105,Sedang,Sedang,#FDBB84
3211,KABUPATEN SUMEDANG,-6.8586,107.9164,0.007832436899442068,10.444444444444445,2.888888888888889,104803.34999999999,Sedang,Sedang,#FDBB84
3273,KOTA BANDUNG,-6.9175,107.6191,5.8234104055439793e-05,5.333333333333333,2.888888888888889,1030704.1544444445,Rendah,Rendah,#FEE8C8
3203,KABUPATEN CIANJUR,-6.8226,107.1394,-0.0018158213523546468,6.333333333333333,4.777777777777778,238677.86444444448,Rendah,Rendah,#FEE8C8
3278,KOTA TASIKMALAYA,-7.3506,108.2172,-0.009557623686322965,4.333333333333333,2.6666666666666665,141962.9577777778,Sedang,Sedang,#FDBB84
3208,KABUPATEN KUNINGAN,-6.9758,108.4831,-0.010743814832192698,4.111111111111111,5.888888888888889,101614.02444444444,Rendah,Rendah,#FEE8C8
3217,KABUPATEN BANDUNG BARAT,-6.842,107.472,-0.05516185549335882,3.6666666666666665,2.888888888888889,229436.37333333335,Rendah,Rendah,#FEE8C8
3275,KOTA BEKASI,-6.2383,106.9756,-0.08330833349137332,6.222222222222222,1.2222222222222223,907835.8622222221,Rendah,Rendah,#FEE8C8
3279,KOTA BANJAR,-7.3707,108.5419,-0.12692868465856227,0.5555555555555556,2.111111111111111,49570.36,Sedang,Sedang,#FDBB84
3215,KABUPATEN KARAWANG,-6.3056,107.2967,-0.13274558729395874,9.222222222222221,1.5555555555555556,276828.44777777774,Rendah,Rendah,#FEE8C8
3216,KABUPATEN BEKASI,-6.2416,107.1456,-0.1452303585455288,8.222222222222221,1.4444444444444444,368293.46222222224,Rendah,Rendah,#FEE8C8
3213,KABUPATEN SUBANG,-6.5715,107.7626,-0.20441254460282715,5.0,2.4444444444444446,196851.48333333334,Rendah,Rendah,#FEE8C8
3209,KABUPATEN CIREBON,-6.7648,108.4783,-0.24299183617315323,10.0,3.7777777777777777,170662.4711111111,Rendah,Rendah,#FEE8C8
3210,KABUPATEN MAJALENGKA,-6.8364,108.2277,-0.2717708643443076,6.555555555555555,2.111111111111111,117411.32,Rendah,Rendah,#FEE8C8
3214,KABUPATEN PURWAKARTA,-6.5407,107.4463,-0.2798477608610535,1.6666666666666667,1.8888888888888888,93183.18444444444,Rendah,Rendah,#FEE8C8
3274,KOTA CIREBON,-6.732,108.5523,-0.735818375978388,2.4444444444444446,2.2222222222222223,144292.59222222224,Rendah,Rendah,#FEE8C8
3212,KABUPATEN INDRAMAYU,-6.3373,108.3258,-0.8355523878755325,3.3333333333333335,1.0,269919.11666666664,Rendah,Rendah,#FEE8C8
