id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_risiko_bencana,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,152.4,POIN,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,231.2,POIN,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,250.0,POIN,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,174.0,POIN,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,238.0,POIN,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,224.8,POIN,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,215.2,POIN,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,154.0,POIN,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,181.2,POIN,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,166.0,POIN,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,162.0,POIN,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,175.2,POIN,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,175.2,POIN,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,138.0,POIN,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,175.2,POIN,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,164.8,POIN,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,162.0,POIN,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,215.2,POIN,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,107.2,POIN,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,114.4,POIN,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,154.0,POIN,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,183.6,POIN,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,131.6,POIN,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,102.4,POIN,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,120.1,POIN,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,119.2,POIN,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,152.8,POIN,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,152.4,POIN,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,231.2,POIN,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,250.0,POIN,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,174.0,POIN,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,238.0,POIN,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,224.8,POIN,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,178.23,POIN,2016
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,154.0,POIN,2016
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,181.2,POIN,2016
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,166.0,POIN,2016
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,162.0,POIN,2016
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,175.2,POIN,2016
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,175.2,POIN,2016
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,138.0,POIN,2016
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,175.2,POIN,2016
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,164.8,POIN,2016
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,119.97,POIN,2016
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,215.2,POIN,2016
46,32,JAWA BARAT,3271,KOTA BOGOR,87.45,POIN,2016
47,32,JAWA BARAT,3272,KOTA SUKABUMI,114.4,POIN,2016
48,32,JAWA BARAT,3273,KOTA BANDUNG,125.99,POIN,2016
49,32,JAWA BARAT,3274,KOTA CIREBON,183.6,POIN,2016
50,32,JAWA BARAT,3275,KOTA BEKASI,131.6,POIN,2016
51,32,JAWA BARAT,3276,KOTA DEPOK,95.1,POIN,2016
52,32,JAWA BARAT,3277,KOTA CIMAHI,120.4,POIN,2016
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,119.2,POIN,2016
54,32,JAWA BARAT,3279,KOTA BANJAR,152.8,POIN,2016
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,152.4,POIN,2017
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,213.22,POIN,2017
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,226.48,POIN,2017
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,174.0,POIN,2017
59,32,JAWA BARAT,3205,KABUPATEN GARUT,208.63,POIN,2017
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,224.8,POIN,2017
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,173.66,POIN,2017
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,154.0,POIN,2017
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,181.2,POIN,2017
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,166.0,POIN,2017
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,162.0,POIN,2017
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,175.2,POIN,2017
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,175.2,POIN,2017
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,138.0,POIN,2017
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,175.2,POIN,2017
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,152.03,POIN,2017
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,119.97,POIN,2017
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,192.11,POIN,2017
73,32,JAWA BARAT,3271,KOTA BOGOR,82.35,POIN,2017
74,32,JAWA BARAT,3272,KOTA SUKABUMI,114.4,POIN,2017
75,32,JAWA BARAT,3273,KOTA BANDUNG,122.32,POIN,2017
76,32,JAWA BARAT,3274,KOTA CIREBON,183.18,POIN,2017
77,32,JAWA BARAT,3275,KOTA BEKASI,131.6,POIN,2017
78,32,JAWA BARAT,3276,KOTA DEPOK,89.63,POIN,2017
79,32,JAWA BARAT,3277,KOTA CIMAHI,120.4,POIN,2017
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,119.2,POIN,2017
81,32,JAWA BARAT,3279,KOTA BANJAR,152.8,POIN,2017
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,136.88,POIN,2018
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,190.75,POIN,2018
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,207.13,POIN,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,174.0,POIN,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,208.63,POIN,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,203.01,POIN,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,163.29,POIN,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,154.0,POIN,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,170.79,POIN,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,166.0,POIN,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,162.0,POIN,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,167.22,POIN,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,175.2,POIN,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,138.0,POIN,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,175.2,POIN,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,133.03,POIN,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,115.01,POIN,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,168.52,POIN,2018
100,32,JAWA BARAT,3271,KOTA BOGOR,75.75,POIN,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,114.4,POIN,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,122.32,POIN,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,172.76,POIN,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,131.6,POIN,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,89.63,POIN,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,120.4,POIN,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,119.2,POIN,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,152.8,POIN,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,136.88,POIN,2019
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,190.75,POIN,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,207.13,POIN,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,174.0,POIN,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,208.63,POIN,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,203.01,POIN,2019
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,156.23,POIN,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,154.0,POIN,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,160.63,POIN,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,166.0,POIN,2019
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,162.0,POIN,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,167.22,POIN,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,175.2,POIN,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,138.0,POIN,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,175.2,POIN,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,133.03,POIN,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,110.22,POIN,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,145.44,POIN,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,75.75,POIN,2019
128,32,JAWA BARAT,3272,KOTA SUKABUMI,114.4,POIN,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,122.32,POIN,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,172.76,POIN,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,131.6,POIN,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,89.63,POIN,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,120.4,POIN,2019
