"Category","Luas Bahaya(Ha)","Jiwa Terpapar","Fisik (Rp. Miliyar)","Ekonomi (Rp. Miliyar)","Lingkungan (Ha)"
"Bogor",25910,777088,2975.879,6961.26,0
"Sukabumi",17739,250153,1075.213,3432.18,4
"Cianjur",16903,215010,882.595,2933.41,3
"Bandung",26762,1354101,5185.632,7654.62,0
"Garut",9033,237893,920.317,3372.5,0
"Tasikmalaya",9953,167822,816.812,3112.66,0
"Ciamis",20070,284487,1622.381,8525.62,0
"Kuningan",5908,114169,544.097,1881.78,0
"Cirebon",59199,1236138,4965.036,40090.5,0
"Majalengka",35131,350059,1229.295,10337.81,0
"Sumedang",12439,164043,699.102,3286.28,32
"Indramayu",166559,1406950,5845.88,107394.59,5
"Subang",85734,662791,2638.297,40156.94,1
"Purwakarta",6922,124321,600.96,2763.87,0
"Karawang",121273,1600525,6042.965,62597.37,0
"Bekasi",95063,2134683,9671.204,32547.33,7
"Bandung Barat",3637,58948,295.406,653.88,0
"Pangandaran",18120,196858,1036.311,3935.14,97
"Kota Bogor",1622,152967,634.817,232.11,0
"Kota Sukabumi",456,23019,65.742,340.74,0
"Kota Bandung",5320,691016,2484.378,1234.66,0
"Kota Cirebon",1914,211309,894.675,230.63,0
"Kota Bekasi",10864,1462357,5555.011,4314.57,0
"Kota Depok",3568,321619,1484.364,1709.71,0
"Kota Cimahi",643,98162,246.171,56906.71,0
"Kota Tasikmalaya",1642,120303,382.992,368.25,0
"Kota Banjar",4970,123996,523.323,1946.79,0
