dt,MA Menderita-mengungsi,MA luka,MA mdH
2008-01-01,183893.0,11865.0,14.0
2009-01-01,209647.0,5933.5,9.5
2010-01-01,247816.33333333334,12363.333333333334,13.0
2011-01-01,197242.0,9277.5,17.75
2012-01-01,174983.4,7422.0,15.4
2013-01-01,175275.4,5050.6,14.8
2014-01-01,240969.6,5053.0,19.6
2015-01-01,184960.0,8.6,16.2
2016-01-01,219755.6,10.4,23.6
2017-01-01,237995.4,22.0,25.2
2018-01-01,226841.8,21.2,25.2
2019-01-01,158959.6,18.6,20.2
2020-01-01,495590.0,23.6,28.6
2021-01-01,739750.0,74.2,18.8
2022-01-01,770765.2,65.8,20.4
2023-01-01,840360.0,67.8,19.0
2024-01-01,892091.2,2147.6,21.2
2025-01-01,699202.2,2146.6,13.6
2026-01-01,534112.6,2091.0,11.0
