dt,estimasi total,rusak berat,rusak ringan,rusak sedang,terendam
2008-01-01,37434,5820,1950,0,29664
2009-01-01,46885,8520,480,0,37885
2010-01-01,372759,91200,27180,30,254349
2011-01-01,140330,42420,39705,38190,20015
2012-01-01,38492,7740,14175,1110,15467
2013-01-01,112165,28440,15285,9240,59200
2014-01-01,247027,60060,6240,3900,176827
2015-01-01,13130,3420,120,60,9530
2016-01-01,236742,82860,44490,71670,37722
2017-01-01,39954,3060,4740,1500,30654
2018-01-01,71074,2400,7650,720,60304
2019-01-01,46498,2220,6825,870,36583
2020-01-01,497554,67920,31950,29130,368554
2021-01-01,350330,16380,6570,5730,321650
2022-01-01,129697,11640,28425,9930,79702
2023-01-01,121619,1320,2445,1680,116174
2024-01-01,298475,23460,146085,13110,115820
2025-01-01,247454,21000,22665,24510,179279
2026-01-01,98456,660,360,540,96896
