kode_kemendagri,nama_clean,nama_singkat,tipe,latitude,longitude,bps_kode
3201,KABUPATEN BOGOR,BOGOR,KAB,-6.5971,106.8060,3201
3202,KABUPATEN SUKABUMI,SUKABUMI,KAB,-6.9277,106.9299,3202
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204
3205,KABUPATEN GARUT,GARUT,KAB,-7.2279,107.9087,3205
3206,KABUPATEN TASIKMALAYA,TASIKMALAYA,KAB,-7.3579,108.1110,3206
3207,KABUPATEN CIAMIS,CIAMIS,KAB,-7.3264,108.3534,3207
3208,KABUPATEN KUNINGAN,KUNINGAN,KAB,-6.9758,108.4831,3208
3209,KABUPATEN CIREBON,CIREBON,KAB,-6.7648,108.4783,3209
3210,KABUPATEN MAJALENGKA,MAJALENGKA,KAB,-6.8364,108.2277,3210
3211,KABUPATEN SUMEDANG,SUMEDANG,KAB,-6.8586,107.9164,3211
3212,KABUPATEN INDRAMAYU,INDRAMAYU,KAB,-6.3373,108.3258,3212
3213,KABUPATEN SUBANG,SUBANG,KAB,-6.5715,107.7626,3213
3214,KABUPATEN PURWAKARTA,PURWAKARTA,KAB,-6.5407,107.4463,3214
3215,KABUPATEN KARAWANG,KARAWANG,KAB,-6.3056,107.2967,3215
3216,KABUPATEN BEKASI,BEKASI,KAB,-6.2416,107.1456,3216
3217,KABUPATEN BANDUNG BARAT,BANDUNG BARAT,KAB,-6.8420,107.4720,3217
3218,KABUPATEN PANGANDARAN,PANGANDARAN,KAB,-7.6151,108.4988,3218
3271,KOTA BOGOR,BOGOR,KOTA,-6.5950,106.8166,3271
3272,KOTA SUKABUMI,SUKABUMI,KOTA,-6.9277,106.9299,3272
3273,KOTA BANDUNG,BANDUNG,KOTA,-6.9175,107.6191,3273
3274,KOTA CIREBON,CIREBON,KOTA,-6.7320,108.5523,3274
3275,KOTA BEKASI,BEKASI,KOTA,-6.2383,106.9756,3275
3276,KOTA DEPOK,DEPOK,KOTA,-6.4025,106.7942,3276
3277,KOTA CIMAHI,CIMAHI,KOTA,-6.8841,107.5413,3277
3278,KOTA TASIKMALAYA,TASIKMALAYA,KOTA,-7.3506,108.2172,3278
3279,KOTA BANJAR,BANJAR,KOTA,-7.3707,108.5419,3279
